"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"parents"
"query_1";FALSE;0.4380889319805094;14;34;2;0.058823529411764705;0.14285714285714285;"GO:0001678";"GO:BP";"cellular glucose homeostasis";14562;493;
"query_1";FALSE;0.6518575556318634;17;34;2;0.058823529411764705;0.11764705882352941;"GO:0006941";"GO:BP";"striated muscle contraction";14562;2878;
"query_1";FALSE;0.6518575556318634;17;34;2;0.058823529411764705;0.11764705882352941;"GO:0010721";"GO:BP";"negative regulation of cell development";14562;4861;
"query_1";FALSE;0.8172199020811827;19;34;2;0.058823529411764705;0.10526315789473684;"GO:0042593";"GO:BP";"glucose homeostasis";14562;11833;
"query_1";FALSE;0.8172199020811827;19;34;2;0.058823529411764705;0.10526315789473684;"GO:0033500";"GO:BP";"carbohydrate homeostasis";14562;9469;
"query_1";FALSE;1;843;34;4;0.11764705882352941;0.004744958481613286;"GO:0048869";"GO:BP";"cellular developmental process";14562;15158;
"query_1";FALSE;1;270;34;2;0.058823529411764705;0.007407407407407408;"GO:0048870";"GO:BP";"cell motility";14562;15159;
"query_1";FALSE;1;179;34;3;0.08823529411764706;0.01675977653631285;"GO:0048878";"GO:BP";"chemical homeostasis";14562;15167;
"query_1";FALSE;1;171;34;1;0.029411764705882353;0.005847953216374269;"GO:0048858";"GO:BP";"cell projection morphogenesis";14562;15148;
"query_1";FALSE;1;17;34;1;0.029411764705882353;0.058823529411764705;"GO:0050727";"GO:BP";"regulation of inflammatory response";14562;15278;
"query_1";FALSE;1;47;34;1;0.029411764705882353;0.02127659574468085;"GO:0050767";"GO:BP";"regulation of neurogenesis";14562;15304;
"query_1";FALSE;1;13;34;1;0.029411764705882353;0.07692307692307693;"GO:0050768";"GO:BP";"negative regulation of neurogenesis";14562;15305;
"query_1";FALSE;1;1442;34;4;0.11764705882352941;0.0027739251040221915;"GO:0048856";"GO:BP";"anatomical structure development";14562;15146;
"query_1";FALSE;1;26;34;1;0.029411764705882353;0.038461538461538464;"GO:0050770";"GO:BP";"regulation of axonogenesis";14562;15307;
"query_1";FALSE;1;9;34;1;0.029411764705882353;0.1111111111111111;"GO:0050771";"GO:BP";"negative regulation of axonogenesis";14562;15308;
"query_1";FALSE;1;167;34;1;0.029411764705882353;0.005988023952095809;"GO:0048812";"GO:BP";"neuron projection morphogenesis";14562;15103;
"query_1";FALSE;1;1053;34;3;0.08823529411764706;0.002849002849002849;"GO:0048731";"GO:BP";"system development";14562;15031;
"query_1";FALSE;1;26;34;1;0.029411764705882353;0.038461538461538464;"GO:0048738";"GO:BP";"cardiac muscle tissue development";14562;15038;
"query_1";FALSE;1;3;34;1;0.029411764705882353;0.3333333333333333;"GO:0048203";"GO:BP";"vesicle targeting, trans-Golgi to endosome";14562;14610;
"query_1";FALSE;1;456;34;3;0.08823529411764706;0.006578947368421052;"GO:0048468";"GO:BP";"cell development";14562;14805;
"query_1";FALSE;1;723;34;2;0.058823529411764705;0.0027662517289073307;"GO:0048513";"GO:BP";"animal organ development";14562;14835;
"query_1";FALSE;1;909;34;1;0.029411764705882353;0.0011001100110011;"GO:0048518";"GO:BP";"positive regulation of biological process";14562;14840;
"query_1";FALSE;1;907;34;2;0.058823529411764705;0.002205071664829107;"GO:0048519";"GO:BP";"negative regulation of biological process";14562;14841;
"query_1";FALSE;1;798;34;2;0.058823529411764705;0.002506265664160401;"GO:0048523";"GO:BP";"negative regulation of cellular process";14562;14845;
"query_1";FALSE;1;26;34;1;0.029411764705882353;0.038461538461538464;"GO:0048545";"GO:BP";"response to steroid hormone";14562;14865;
"query_1";FALSE;1;698;34;2;0.058823529411764705;0.0028653295128939827;"GO:0048583";"GO:BP";"regulation of response to stimulus";14562;14895;
"query_1";FALSE;1;263;34;1;0.029411764705882353;0.0038022813688212928;"GO:0048584";"GO:BP";"positive regulation of response to stimulus";14562;14896;
"query_1";FALSE;1;33;34;1;0.029411764705882353;0.030303030303030304;"GO:0048588";"GO:BP";"developmental cell growth";14562;14900;
"query_1";FALSE;1;2;34;1;0.029411764705882353;0.5;"GO:0048769";"GO:BP";"sarcomerogenesis";14562;15064;
"query_1";FALSE;1;75;34;1;0.029411764705882353;0.013333333333333334;"GO:0048589";"GO:BP";"developmental growth";14562;14901;
"query_1";FALSE;1;9;34;1;0.029411764705882353;0.1111111111111111;"GO:0048640";"GO:BP";"negative regulation of developmental growth";14562;14941;
