"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"parents"
"query_1";FALSE;1;772;48;5;0.10416666666666667;0.006476683937823834;"GO:0044281";"GO:BP";"small molecule metabolic process";14562;12712;
"query_1";FALSE;1;193;48;2;0.041666666666666664;0.010362694300518135;"GO:0044283";"GO:BP";"small molecule biosynthetic process";14562;12714;
"query_1";FALSE;1;91;48;2;0.041666666666666664;0.02197802197802198;"GO:0045017";"GO:BP";"glycerolipid biosynthetic process";14562;13072;
"query_1";FALSE;1;9;48;1;0.020833333333333332;0.1111111111111111;"GO:0044275";"GO:BP";"cellular carbohydrate catabolic process";14562;12709;
"query_1";FALSE;1;4;48;1;0.020833333333333332;0.25;"GO:0044403";"GO:BP";"biological process involved in symbiotic interaction";14562;12771;
"query_1";FALSE;1;1;48;1;0.020833333333333332;1;"GO:0044409";"GO:BP";"entry into host";14562;12776;
"query_1";FALSE;1;7;48;1;0.020833333333333332;0.14285714285714285;"GO:0044273";"GO:BP";"sulfur compound catabolic process";14562;12708;
"query_1";FALSE;1;42;48;2;0.041666666666666664;0.047619047619047616;"GO:0044272";"GO:BP";"sulfur compound biosynthetic process";14562;12707;
"query_1";FALSE;1;133;48;2;0.041666666666666664;0.015037593984962405;"GO:0044419";"GO:BP";"biological process involved in interspecies interaction between organisms";14562;12783;
"query_1";FALSE;1;20;48;1;0.020833333333333332;0.05;"GO:0045103";"GO:BP";"intermediate filament-based process";14562;13121;
"query_1";FALSE;1;202;48;1;0.020833333333333332;0.0049504950495049506;"GO:0045892";"GO:BP";"negative regulation of transcription, DNA-templated";14562;13602;
"query_1";FALSE;1;477;48;1;0.020833333333333332;0.0020964360587002098;"GO:0045184";"GO:BP";"establishment of protein localization";14562;13161;
"query_1";FALSE;1;43;48;1;0.020833333333333332;0.023255813953488372;"GO:0045216";"GO:BP";"cell-cell junction organization";14562;13186;
"query_1";FALSE;1;97;48;1;0.020833333333333332;0.010309278350515464;"GO:0045859";"GO:BP";"regulation of protein kinase activity";14562;13573;
"query_1";FALSE;1;232;48;2;0.041666666666666664;0.008620689655172414;"GO:0045893";"GO:BP";"positive regulation of transcription, DNA-templated";14562;13603;
"query_1";FALSE;1;235;48;1;0.020833333333333332;0.00425531914893617;"GO:0045934";"GO:BP";"negative regulation of nucleobase-containing compound metabolic process";14562;13642;
"query_1";FALSE;1;285;48;2;0.041666666666666664;0.007017543859649123;"GO:0045935";"GO:BP";"positive regulation of nucleobase-containing compound metabolic process";14562;13643;
"query_1";FALSE;1;44;48;1;0.020833333333333332;0.022727272727272728;"GO:0045936";"GO:BP";"negative regulation of phosphate metabolic process";14562;13644;
"query_1";FALSE;1;157;48;2;0.041666666666666664;0.012738853503184714;"GO:0045944";"GO:BP";"positive regulation of transcription by RNA polymerase II";14562;13651;
"query_1";FALSE;1;89;48;1;0.020833333333333332;0.011235955056179775;"GO:0046034";"GO:BP";"ATP metabolic process";14562;13734;
"query_1";FALSE;1;5;48;1;0.020833333333333332;0.2;"GO:0046337";"GO:BP";"phosphatidylethanolamine metabolic process";14562;14035;
"query_1";FALSE;1;20;48;1;0.020833333333333332;0.05;"GO:0045104";"GO:BP";"intermediate filament cytoskeleton organization";14562;13122;
"query_1";FALSE;1;1905;48;5;0.10416666666666667;0.0026246719160104987;"GO:0044271";"GO:BP";"cellular nitrogen compound biosynthetic process";14562;12706;
"query_1";FALSE;1;23;48;1;0.020833333333333332;0.043478260869565216;"GO:0044264";"GO:BP";"cellular polysaccharide metabolic process";14562;12701;
"query_1";FALSE;1;384;48;1;0.020833333333333332;0.0026041666666666665;"GO:0044265";"GO:BP";"cellular macromolecule catabolic process";14562;12702;
"query_1";FALSE;1;16;48;1;0.020833333333333332;0.0625;"GO:0043297";"GO:BP";"apical junction assembly";14562;12227;
"query_1";FALSE;1;21;48;1;0.020833333333333332;0.047619047619047616;"GO:0043401";"GO:BP";"steroid hormone mediated signaling pathway";14562;12292;
"query_1";FALSE;1;1801;48;5;0.10416666666666667;0.00277623542476402;"GO:0043412";"GO:BP";"macromolecule modification";14562;12301;
"query_1";FALSE;1;394;48;2;0.041666666666666664;0.005076142131979695;"GO:0043436";"GO:BP";"oxoacid metabolic process";14562;12315;
"query_1";FALSE;1;2;48;1;0.020833333333333332;0.5;"GO:0043467";"GO:BP";"regulation of generation of precursor metabolites and energy";14562;12343;
"query_1";FALSE;1;1;48;1;0.020833333333333332;1;"GO:0043470";"GO:BP";"regulation of carbohydrate catabolic process";14562;12346;
"query_1";FALSE;1;1;48;1;0.020833333333333332;1;"GO:0043471";"GO:BP";"regulation of cellular carbohydrate catabolic process";14562;12347;
"query_1";FALSE;1;53;48;1;0.020833333333333332;0.018867924528301886;"GO:0043484";"GO:BP";"regulation of RNA splicing";14562;12359;
"query_1";FALSE;1;132;48;1;0.020833333333333332;0.007575757575757576;"GO:0043549";"GO:BP";"regulation of kinase activity";14562;12396;
"query_1";FALSE;1;494;48;2;0.041666666666666664;0.004048582995951417;"GO:0043603";"GO:BP";"cellular amide metabolic process";14562;12432;
"query_1";FALSE;1;388;48;1;0.020833333333333332;0.002577319587628866;"GO:0043604";"GO:BP";"amide biosynthetic process";14562;12433;
"query_1";FALSE;1;253;48;1;0.020833333333333332;0.003952569169960474;"GO:0043632";"GO:BP";"modification-dependent macromolecule catabolic process";14562;12455;
"query_1";FALSE;1;17;48;1;0.020833333333333332;0.058823529411764705;"GO:0044042";"GO:BP";"glucan metabolic process";14562;12587;
"query_1";FALSE;1;905;48;1;0.020833333333333332;0.0011049723756906078;"GO:0044085";"GO:BP";"cellular component biogenesis";14562;12627;
"query_1";FALSE;1;158;48;1;0.020833333333333332;0.006329113924050633;"GO:0044092";"GO:BP";"negative regulation of molecular function";14562;12633;
"query_1";FALSE;1;5344;48;19;0.3958333333333333;0.003555389221556886;"GO:0044237";"GO:BP";"cellular metabolic process";14562;12684;
"query_1";FALSE;1;5474;48;20;0.4166666666666667;0.003653635367190354;"GO:0044238";"GO:BP";"primary metabolic process";14562;12685;
"query_1";FALSE;1;5;48;1;0.020833333333333332;0.2;"GO:0044247";"GO:BP";"cellular polysaccharide catabolic process";14562;12690;
"query_1";FALSE;1;710;48;4;0.08333333333333333;0.005633802816901409;"GO:0044248";"GO:BP";"cellular catabolic process";14562;12691;
"query_1";FALSE;1;2348;48;10;0.20833333333333334;0.004258943781942078;"GO:0044249";"GO:BP";"cellular biosynthetic process";14562;12692;
"query_1";FALSE;1;417;48;3;0.0625;0.007194244604316547;"GO:0044255";"GO:BP";"cellular lipid metabolic process";14562;12695;
"query_1";FALSE;1;285;48;1;0.020833333333333332;0.0035087719298245615;"GO:0044257";"GO:BP";"cellular protein catabolic process";14562;12697;
"query_1";FALSE;1;2731;48;8;0.16666666666666666;0.0029293299157817647;"GO:0044260";"GO:BP";"cellular macromolecule metabolic process";14562;12699;
"query_1";FALSE;1;84;48;1;0.020833333333333332;0.011904761904761904;"GO:0044262";"GO:BP";"cellular carbohydrate metabolic process";14562;12700;
"query_1";FALSE;1;94;48;2;0.041666666666666664;0.02127659574468085;"GO:0046390";"GO:BP";"ribose phosphate biosynthetic process";14562;14086;
"query_1";FALSE;1;2194;48;6;0.125;0.0027347310847766638;"GO:0044267";"GO:BP";"cellular protein metabolic process";14562;12703;
"query_1";FALSE;1;112;48;2;0.041666666666666664;0.017857142857142856;"GO:0046394";"GO:BP";"carboxylic acid biosynthetic process";14562;14089;
"query_1";FALSE;1;160;48;2;0.041666666666666664;0.0125;"GO:0046486";"GO:BP";"glycerolipid metabolic process";14562;14163;
"query_1";FALSE;1;2630;48;7;0.14583333333333334;0.002661596958174905;"GO:0046483";"GO:BP";"heterocycle metabolic process";14562;14160;
"query_1";FALSE;1;44;48;1;0.020833333333333332;0.022727272727272728;"GO:0050684";"GO:BP";"regulation of mRNA processing";14562;15267;
"query_1";FALSE;1;23;48;1;0.020833333333333332;0.043478260869565216;"GO:0050730";"GO:BP";"regulation of peptidyl-tyrosine phosphorylation";14562;15281;
"query_1";FALSE;1;11;48;1;0.020833333333333332;0.09090909090909091;"GO:0050732";"GO:BP";"negative regulation of peptidyl-tyrosine phosphorylation";14562;15283;
"query_1";FALSE;1;115;48;1;0.020833333333333332;0.008695652173913044;"GO:0050776";"GO:BP";"regulation of immune response";14562;15313;
"query_1";FALSE;1;4420;48;9;0.1875;0.0020361990950226246;"GO:0050789";"GO:BP";"regulation of biological process";14562;15321;
"query_1";FALSE;1;574;48;3;0.0625;0.005226480836236934;"GO:0050790";"GO:BP";"regulation of catalytic activity";14562;15322;
"query_1";FALSE;1;4226;48;8;0.16666666666666666;0.001893043066729768;"GO:0050794";"GO:BP";"regulation of cellular process";14562;15325;
"query_1";FALSE;1;3027;48;9;0.1875;0.002973240832507433;"GO:0050896";"GO:BP";"response to stimulus";14562;15410;
"query_1";FALSE;1;15;48;1;0.020833333333333332;0.06666666666666667;"GO:0051084";"GO:BP";"'de novo' post-translational protein folding";14562;15562;
"query_1";FALSE;1;14;48;1;0.020833333333333332;0.07142857142857142;"GO:0051085";"GO:BP";"chaperone cofactor-dependent protein refolding";14562;15563;
"query_1";FALSE;1;43;48;1;0.020833333333333332;0.023255813953488372;"GO:0051168";"GO:BP";"nuclear export";14562;15637;
"query_1";FALSE;1;76;48;1;0.020833333333333332;0.013157894736842105;"GO:0051169";"GO:BP";"nuclear transport";14562;15638;
"query_1";FALSE;1;1732;48;6;0.125;0.003464203233256351;"GO:0051171";"GO:BP";"regulation of nitrogen compound metabolic process";14562;15640;
"query_1";FALSE;1;383;48;2;0.041666666666666664;0.005221932114882507;"GO:0051172";"GO:BP";"negative regulation of nitrogen compound metabolic process";14562;15641;
"query_1";FALSE;1;449;48;2;0.041666666666666664;0.004454342984409799;"GO:0051173";"GO:BP";"positive regulation of nitrogen compound metabolic process";14562;15642;
"query_1";FALSE;1;213;48;2;0.041666666666666664;0.009389671361502348;"GO:0051174";"GO:BP";"regulation of phosphorus metabolic process";14562;15643;
"query_1";FALSE;1;2284;48;11;0.22916666666666666;0.004816112084063047;"GO:0051179";"GO:BP";"localization";14562;15648;
"query_1";FALSE;1;1959;48;10;0.20833333333333334;0.005104645227156712;"GO:0051234";"GO:BP";"establishment of localization";14562;15692;
"query_1";FALSE;1;416;48;2;0.041666666666666664;0.004807692307692308;"GO:0051246";"GO:BP";"regulation of protein metabolic process";14562;15701;
"query_1";FALSE;1;148;48;1;0.020833333333333332;0.006756756756756757;"GO:0051248";"GO:BP";"negative regulation of protein metabolic process";14562;15703;
"query_1";FALSE;1;1307;48;4;0.08333333333333333;0.00306044376434583;"GO:0051252";"GO:BP";"regulation of RNA metabolic process";14562;15707;
"query_1";FALSE;1;215;48;1;0.020833333333333332;0.004651162790697674;"GO:0051253";"GO:BP";"negative regulation of RNA metabolic process";14562;15708;
"query_1";FALSE;1;262;48;2;0.041666666666666664;0.007633587786259542;"GO:0051254";"GO:BP";"positive regulation of RNA metabolic process";14562;15709;
"query_1";FALSE;1;149;48;1;0.020833333333333332;0.006711409395973154;"GO:0051338";"GO:BP";"regulation of transferase activity";14562;15778;
"query_1";FALSE;1;33;48;1;0.020833333333333332;0.030303030303030304;"GO:0051348";"GO:BP";"negative regulation of transferase activity";14562;15788;
"query_1";FALSE;1;120;48;1;0.020833333333333332;0.008333333333333333;"GO:0048880";"GO:BP";"sensory system development";14562;15168;
"query_1";FALSE;1;83;48;2;0.041666666666666664;0.024096385542168676;"GO:0046474";"GO:BP";"glycerophospholipid biosynthetic process";14562;14153;
"query_1";FALSE;1;45;48;1;0.020833333333333332;0.022222222222222223;"GO:0048872";"GO:BP";"homeostasis of number of cells";14562;15161;
"query_1";FALSE;1;843;48;3;0.0625;0.0035587188612099642;"GO:0048869";"GO:BP";"cellular developmental process";14562;15158;
"query_1";FALSE;1;5;48;1;0.020833333333333332;0.2;"GO:0043255";"GO:BP";"regulation of carbohydrate biosynthetic process";14562;12208;
"query_1";FALSE;1;94;48;1;0.020833333333333332;0.010638297872340425;"GO:0046488";"GO:BP";"phosphatidylinositol metabolic process";14562;14165;
"query_1";FALSE;1;9;48;1;0.020833333333333332;0.1111111111111111;"GO:0046500";"GO:BP";"S-adenosylmethionine metabolic process";14562;14176;
"query_1";FALSE;1;2;48;1;0.020833333333333332;0.5;"GO:0046618";"GO:BP";"xenobiotic export from cell";14562;14237;
"query_1";FALSE;1;1;48;1;0.020833333333333332;1;"GO:0046718";"GO:BP";"viral entry into host cell";14562;14319;
"query_1";FALSE;1;1;48;1;0.020833333333333332;1;"GO:0046794";"GO:BP";"transport of virus";14562;14366;
"query_1";FALSE;1;37;48;1;0.020833333333333332;0.02702702702702703;"GO:0046854";"GO:BP";"phosphatidylinositol phosphate biosynthetic process";14562;14407;
"query_1";FALSE;1;564;48;1;0.020833333333333332;0.0017730496453900709;"GO:0046907";"GO:BP";"intracellular transport";14562;14442;
"query_1";FALSE;1;30;48;1;0.020833333333333332;0.03333333333333333;"GO:0048015";"GO:BP";"phosphatidylinositol-mediated signaling";14562;14494;
"query_1";FALSE;1;32;48;1;0.020833333333333332;0.03125;"GO:0048017";"GO:BP";"inositol lipid-mediated signaling";14562;14496;
"query_1";FALSE;1;37;48;1;0.020833333333333332;0.02702702702702703;"GO:0048024";"GO:BP";"regulation of mRNA splicing, via spliceosome";14562;14500;
"query_1";FALSE;1;723;48;2;0.041666666666666664;0.0027662517289073307;"GO:0048513";"GO:BP";"animal organ development";14562;14835;
"query_1";FALSE;1;909;48;2;0.041666666666666664;0.0022002200220022;"GO:0048518";"GO:BP";"positive regulation of biological process";14562;14840;
"query_1";FALSE;1;907;48;2;0.041666666666666664;0.002205071664829107;"GO:0048519";"GO:BP";"negative regulation of biological process";14562;14841;
"query_1";FALSE;1;804;48;2;0.041666666666666664;0.0024875621890547263;"GO:0048522";"GO:BP";"positive regulation of cellular process";14562;14844;
"query_1";FALSE;1;798;48;2;0.041666666666666664;0.002506265664160401;"GO:0048523";"GO:BP";"negative regulation of cellular process";14562;14845;
"query_1";FALSE;1;151;48;1;0.020833333333333332;0.006622516556291391;"GO:0048534";"GO:BP";"hematopoietic or lymphoid organ development";14562;14854;
"query_1";FALSE;1;26;48;1;0.020833333333333332;0.038461538461538464;"GO:0048545";"GO:BP";"response to steroid hormone";14562;14865;
"query_1";FALSE;1;698;48;2;0.041666666666666664;0.0028653295128939827;"GO:0048583";"GO:BP";"regulation of response to stimulus";14562;14895;
"query_1";FALSE;1;215;48;1;0.020833333333333332;0.004651162790697674;"GO:0048585";"GO:BP";"negative regulation of response to stimulus";14562;14897;
"query_1";FALSE;1;53;48;1;0.020833333333333332;0.018867924528301886;"GO:0048592";"GO:BP";"eye morphogenesis";14562;14902;
"query_1";FALSE;1;38;48;1;0.020833333333333332;0.02631578947368421;"GO:0048593";"GO:BP";"camera-type eye morphogenesis";14562;14903;
"query_1";FALSE;1;167;48;1;0.020833333333333332;0.005988023952095809;"GO:0048598";"GO:BP";"embryonic morphogenesis";14562;14906;
"query_1";FALSE;1;1053;48;2;0.041666666666666664;0.001899335232668566;"GO:0048731";"GO:BP";"system development";14562;15031;
"query_1";FALSE;1;1442;48;3;0.0625;0.0020804438280166435;"GO:0048856";"GO:BP";"anatomical structure development";14562;15146;
"query_1";FALSE;1;270;48;1;0.020833333333333332;0.003703703703703704;"GO:0048870";"GO:BP";"cell motility";14562;15159;
"query_1";FALSE;1;131;48;1;0.020833333333333332;0.007633587786259542;"GO:0043207";"GO:BP";"response to external biotic stimulus";14562;12195;
"query_1";FALSE;1;283;48;1;0.020833333333333332;0.0035335689045936395;"GO:0051603";"GO:BP";"proteolysis involved in cellular protein catabolic process";14562;15966;
"query_1";FALSE;1;391;48;2;0.041666666666666664;0.005115089514066497;"GO:0019752";"GO:BP";"carboxylic acid metabolic process";14562;6954;
"query_1";FALSE;1;252;48;1;0.020833333333333332;0.003968253968253968;"GO:0019941";"GO:BP";"modification-dependent protein catabolic process";14562;7026;
"query_1";FALSE;1;784;48;1;0.020833333333333332;0.0012755102040816326;"GO:0022607";"GO:BP";"cellular component assembly";14562;7599;
"query_1";FALSE;1;620;48;1;0.020833333333333332;0.0016129032258064516;"GO:0023051";"GO:BP";"regulation of signaling";14562;7647;
"query_1";FALSE;1;2429;48;4;0.08333333333333333;0.0016467682173734047;"GO:0023052";"GO:BP";"signaling";14562;7648;
"query_1";FALSE;1;195;48;1;0.020833333333333332;0.005128205128205128;"GO:0023057";"GO:BP";"negative regulation of signaling";14562;7653;
"query_1";FALSE;1;358;48;1;0.020833333333333332;0.002793296089385475;"GO:0030001";"GO:BP";"metal ion transport";14562;7665;
"query_1";FALSE;1;147;48;1;0.020833333333333332;0.006802721088435374;"GO:0030097";"GO:BP";"hemopoiesis";14562;7700;
"query_1";FALSE;1;61;48;1;0.020833333333333332;0.01639344262295082;"GO:0030099";"GO:BP";"myeloid cell differentiation";14562;7702;
"query_1";FALSE;1;837;48;3;0.0625;0.0035842293906810036;"GO:0030154";"GO:BP";"cell differentiation";14562;7716;
"query_1";FALSE;1;308;48;1;0.020833333333333332;0.003246753246753247;"GO:0030163";"GO:BP";"protein catabolic process";14562;7720;
