"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"parents"
"query_1";TRUE;5.161404446696339e-47;349;1196;126;0.10535117056856187;0.36103151862464183;"GO:0006412";"GO:BP";"translation";14607;2402;
"query_1";TRUE;3.2150099607832103e-46;354;1196;126;0.10535117056856187;0.3559322033898305;"GO:0043043";"GO:BP";"peptide biosynthetic process";14607;12102;
"query_1";TRUE;8.660034609944866e-44;409;1196;133;0.11120401337792642;0.3251833740831296;"GO:0006518";"GO:BP";"peptide metabolic process";14607;2492;
"query_1";TRUE;1.5898999826103189e-43;394;1196;130;0.10869565217391304;0.3299492385786802;"GO:0043604";"GO:BP";"amide biosynthetic process";14607;12433;
"query_1";TRUE;8.374319132826123e-41;3157;1196;460;0.38461538461538464;0.14570795058599936;"GO:1901564";"GO:BP";"organonitrogen compound metabolic process";14607;24853;
"query_1";TRUE;3.238658018053123e-40;503;1196;144;0.12040133779264214;0.28628230616302186;"GO:0043603";"GO:BP";"cellular amide metabolic process";14607;12432;
"query_1";TRUE;1.318923906270942e-32;6024;1196;698;0.5836120401337793;0.11586985391766268;"GO:0008152";"GO:BP";"metabolic process";14607;3531;
"query_1";TRUE;1.3926865276481698e-32;5519;1196;655;0.5476588628762542;0.11868092045660446;"GO:0044238";"GO:BP";"primary metabolic process";14607;12685;
"query_1";TRUE;6.923219935413128e-31;577;1196;141;0.11789297658862877;0.24436741767764297;"GO:0034645";"GO:BP";"cellular macromolecule biosynthetic process";14607;10001;
"query_1";TRUE;1.0078216478751366e-30;2667;1196;384;0.3210702341137124;0.1439820022497188;"GO:0019538";"GO:BP";"protein metabolic process";14607;6769;
"query_1";TRUE;1.0338176480626705e-30;5750;1196;669;0.5593645484949833;0.11634782608695653;"GO:0071704";"GO:BP";"organic substance metabolic process";14607;19683;
"query_1";TRUE;3.851798619208405e-30;832;1196;175;0.14632107023411373;0.21033653846153846;"GO:1901566";"GO:BP";"organonitrogen compound biosynthetic process";14607;24855;
"query_1";TRUE;5.739534432001576e-28;5156;1196;609;0.5091973244147158;0.11811481768813033;"GO:0006807";"GO:BP";"nitrogen compound metabolic process";14607;2763;
"query_1";TRUE;2.4798179194859244e-27;2752;1196;383;0.3202341137123746;0.13917151162790697;"GO:0044260";"GO:BP";"cellular macromolecule metabolic process";14607;12699;
"query_1";TRUE;3.28729689931458e-27;2218;1196;328;0.27424749163879597;0.1478809738503156;"GO:0044267";"GO:BP";"cellular protein metabolic process";14607;12703;
"query_1";TRUE;4.85302426588971e-27;5375;1196;625;0.5225752508361204;0.11627906976744186;"GO:0044237";"GO:BP";"cellular metabolic process";14607;12684;
"query_1";TRUE;3.7601848430856716e-20;152;1196;56;0.046822742474916385;0.3684210526315789;"GO:0042254";"GO:BP";"ribosome biogenesis";14607;11632;
"query_1";TRUE;9.844962004569479e-20;209;1196;66;0.05518394648829431;0.3157894736842105;"GO:0022613";"GO:BP";"ribonucleoprotein complex biogenesis";14607;7605;
"query_1";TRUE;7.657629784809229e-17;4737;1196;532;0.44481605351170567;0.11230736753219338;"GO:0043170";"GO:BP";"macromolecule metabolic process";14607;12184;
"query_1";TRUE;8.36164693529347e-15;766;1196;134;0.11204013377926421;0.17493472584856398;"GO:0044281";"GO:BP";"small molecule metabolic process";14607;12712;
"query_1";TRUE;5.4246557472245854e-14;98;1196;38;0.03177257525083612;0.3877551020408163;"GO:0006457";"GO:BP";"protein folding";14607;2437;
"query_1";TRUE;1.1124837443008033e-13;165;1196;50;0.04180602006688963;0.30303030303030304;"GO:0006520";"GO:BP";"cellular amino acid metabolic process";14607;2493;
"query_1";TRUE;2.406289514818945e-13;389;1196;83;0.06939799331103678;0.2133676092544987;"GO:0019752";"GO:BP";"carboxylic acid metabolic process";14607;6954;
"query_1";TRUE;3.8720049705252096e-13;392;1196;83;0.06939799331103678;0.21173469387755103;"GO:0043436";"GO:BP";"oxoacid metabolic process";14607;12315;
"query_1";TRUE;1.3763029324244583e-12;2994;1196;356;0.2976588628762542;0.11890447561790247;"GO:0034641";"GO:BP";"cellular nitrogen compound metabolic process";14607;9997;
"query_1";TRUE;2.1027973423181744e-12;403;1196;83;0.06939799331103678;0.20595533498759305;"GO:0006082";"GO:BP";"organic acid metabolic process";14607;2114;
"query_1";TRUE;3.282317655832936e-12;269;1196;64;0.05351170568561873;0.2379182156133829;"GO:0034660";"GO:BP";"ncRNA metabolic process";14607;10010;
"query_1";TRUE;1.5672090680665722e-10;10195;1196;943;0.7884615384615384;0.09249632172633644;"GO:0008150";"GO:BP";"biological_process";14607;3530;
"query_1";TRUE;2.3328677856608743e-10;9207;1196;868;0.725752508361204;0.09427609427609428;"GO:0009987";"GO:BP";"cellular process";14607;4273;
"query_1";TRUE;9.829597540718437e-10;158;1196;43;0.03595317725752508;0.2721518987341772;"GO:0007018";"GO:BP";"microtubule-based movement";14607;2939;
"query_1";TRUE;1.3700336621271934e-9;349;1196;70;0.05852842809364549;0.20057306590257878;"GO:0007017";"GO:BP";"microtubule-based process";14607;2938;
"query_1";TRUE;1.579344332770294e-9;24;1196;16;0.013377926421404682;0.6666666666666666;"GO:0006099";"GO:BP";"tricarboxylic acid cycle";14607;2127;
"query_1";TRUE;4.093788455662845e-9;32;1196;18;0.015050167224080268;0.5625;"GO:0042273";"GO:BP";"ribosomal large subunit biogenesis";14607;11645;
"query_1";TRUE;5.76197069437828e-9;153;1196;41;0.034280936454849496;0.2679738562091503;"GO:0006091";"GO:BP";"generation of precursor metabolites and energy";14607;2122;
"query_1";TRUE;6.552411646761659e-9;29;1196;17;0.014214046822742474;0.5862068965517241;"GO:0042255";"GO:BP";"ribosome assembly";14607;11633;
"query_1";TRUE;8.602177517935266e-9;713;1196;112;0.09364548494983277;0.1570827489481066;"GO:1901575";"GO:BP";"organic substance catabolic process";14607;24863;
"query_1";TRUE;2.3866606615722574e-8;104;1196;32;0.026755852842809364;0.3076923076923077;"GO:0006364";"GO:BP";"rRNA processing";14607;2361;
"query_1";TRUE;3.292271386986643e-8;111;1196;33;0.027591973244147156;0.2972972972972973;"GO:0016072";"GO:BP";"rRNA metabolic process";14607;5669;
"query_1";TRUE;4.232021123624559e-8;282;1196;58;0.048494983277591976;0.20567375886524822;"GO:0070925";"GO:BP";"organelle assembly";14607;19137;
"query_1";TRUE;2.629656226664226e-7;919;1196;130;0.10869565217391304;0.14145810663764963;"GO:0044085";"GO:BP";"cellular component biogenesis";14607;12627;
"query_1";TRUE;3.7609366734137147e-7;840;1196;121;0.10117056856187291;0.14404761904761904;"GO:0009056";"GO:BP";"catabolic process";14607;3659;
